iter	Passed	Remaining
0	135	13392
1	136	6679
2	137	4436
3	137	3308
4	138	2634
5	139	2184
6	140	1861
7	140	1620
8	141	1432
9	142	1281
10	143	1157
11	143	1055
12	144	967
13	145	892
14	146	827
15	146	770
16	147	720
17	148	675
18	148	635
19	149	598
20	150	565
21	150	534
22	151	507
23	152	481
24	152	458
25	153	436
26	154	416
27	154	398
28	155	380
29	156	364
30	156	349
31	157	334
32	158	321
33	158	308
34	159	296
35	160	285
36	161	274
37	161	264
38	162	254
39	163	244
40	163	235
41	164	226
42	164	218
43	165	210
44	166	203
45	167	196
46	167	189
47	168	182
48	169	176
49	169	169
50	170	163
51	171	157
52	171	152
53	172	146
54	172	141
55	173	136
56	174	131
57	175	126
58	175	122
59	176	117
60	177	113
61	178	109
62	178	104
63	179	100
64	180	96
65	180	93
66	181	89
67	182	85
68	182	82
69	183	78
70	184	75
71	185	71
72	185	68
73	186	65
74	187	62
75	187	59
76	188	56
77	189	53
78	190	50
79	190	47
80	191	44
81	192	42
82	192	39
83	193	36
84	194	34
85	195	31
86	195	29
87	196	26
88	197	24
89	197	21
90	198	19
91	199	17
92	199	15
93	200	12
94	201	10
95	202	8
96	202	6
97	203	4
98	204	2
99	204	0
